0.7268	114.09
0.8748	115.94
0.973	117.35
1.1418	119.6
1.2572	121.1
1.4022	123.03
1.619	125.78
1.7063	127.07
1.9496	130.25
2.1141	133.42
2.3555	135.6
2.5141	137.67
2.6105	139.3
2.8295	141.75
2.9522	143.43
3.5941	151.4
3.9987	156.7
4.4895	162.74
4.9342	168.21
5.425	174.31
5.926	180.29
6.432	186.48
6.806	191.23
7.349	197.33
8.178	206.88
8.585	211.45
9.159	218.26
9.577	222.5
9.861	225.16
10.759	234.81
10.46	229.12
9.909	222.85
9.588	218.82
9.015	212.36
8.658	208.36
8.21	202.97
7.827	198.65
7.446	194.07
7.015	189.41
6.574	183.9
6.377	181.65
6.116	178.58
5.742	174.15
5.483	169.85
5.061	166.01
4.745	162.17
4.4622	158.73
3.976	152.7
3.5788	147.83
3.0692	142.92
2.5764	135.16
2.3853	132.69
2.0178	127.9
1.6756	123.4
1.4801	120.78
1.2332	117.42
0.7211	110.48
0.4555	106.5
0.1817	101.87
0.0766	99.03
