400 -0.011	-0.016	-0.026	-0.0396	-0.0428	-0.639
780 -0.008	-0.019	-0.0191	-0.0471	-0.0307	-0.076
1100  -0.005	-0.022	-0.0119	-0.0546	-0.0194	-0.867
1450  -0.002	-0.025	-0.0054	-0.0613	-0.008	-0.983
1800  0.0004	-0.273	0.0014	-0.0673	0.0024	-0.108
2100  0.0027	-0.0297	0.0068	-0.0728	0.011	-0.117
2400  0.0047	-0.0316	0.0118	-0.0777	0.02	-0.125
2700  0.0064	-0.0332	0.0159	-0.0825	0.026	-0.131
2900  0.0077	-0.0346	0.0194	-0.0852	0.031	-0.136
