Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:
000000064	140006.300	000.040741	-0.471571	4.319706e-08	0.0e+00	00:00:11.297
000000065	140006.400	000.047761	-0.472308	5.056181e-08	0.0e+00	00:00:11.484
000000066	140006.500	000.014672	-0.471275	1.556678e-08	0.0e+00	00:00:11.656
000000067	140006.600	-00.028699	-0.470417	-3.050387e-08	0.0e+00	00:00:11.844
000000068	140006.700	000.005660	-0.471653	6.000557e-09	0.0e+00	00:00:12.031
000000069	140006.800	000.009542	-0.470408	1.014213e-08	0.0e+00	00:00:12.203
000000070	140006.900	000.006065	-0.470550	6.444289e-09	0.0e+00	00:00:12.375
000000071	140007.000	000.011752	-0.469282	1.252154e-08	0.0e+00	00:00:12.563
000000072	140007.100	000.035521	-0.468594	3.790220e-08	0.0e+00	00:00:12.734
000000073	140007.200	000.025442	-0.469268	2.710811e-08	0.0e+00	00:00:12.922
000000074	140007.300	-00.006961	-0.469160	-7.418892e-09	0.0e+00	00:00:13.094
000000075	140007.400	000.026229	-0.467924	2.802711e-08	0.0e+00	00:00:13.281
000000076	140007.500	000.025811	-0.468054	2.757295e-08	0.0e+00	00:00:13.453
000000077	140007.600	000.028847	-0.467076	3.088061e-08	0.0e+00	00:00:13.641
000000078	140007.700	000.000613	-0.468170	6.547018e-10	0.0e+00	00:00:13.813
000000079	140007.800	-00.013135	-0.470459	-1.395951e-08	0.0e+00	00:00:14.000
000000080	140007.900	000.058595	-0.467568	6.265929e-08	0.0e+00	00:00:14.188
000000081	140008.000	-00.000243	-0.466130	-2.605826e-10	0.0e+00	00:00:14.359
000000082	140008.100	000.023921	-0.466645	2.563117e-08	0.0e+00	00:00:14.547
000000083	140008.200	000.022127	-0.469288	2.357538e-08	0.0e+00	00:00:14.719
000000084	140008.300	000.013275	-0.467933	1.418499e-08	0.0e+00	00:00:14.906
000000085	140008.400	000.042804	-0.465724	4.595430e-08	0.0e+00	00:00:15.078
000000086	140008.500	-00.010313	-0.466586	-1.105156e-08	0.0e+00	00:00:15.266
000000087	140008.600	000.012236	-0.466731	1.310844e-08	0.0e+00	00:00:15.438
000000088	140008.700	000.000818	-0.467118	8.755729e-10	0.0e+00	00:00:15.625
000000089	140008.800	-00.023069	-0.465785	-2.476345e-08	0.0e+00	00:00:15.797
000000090	140008.900	-00.012849	-0.467936	-1.372891e-08	0.0e+00	00:00:15.984
000000091	140009.000	-00.003597	-0.464825	-3.869315e-09	0.0e+00	00:00:16.156
000000092	140009.100	-00.017911	-0.466003	-1.921784e-08	0.0e+00	00:00:16.344
000000093	140009.200	000.002468	-0.468617	2.633232e-09	0.0e+00	00:00:16.516
000000094	140009.300	-00.009375	-0.465318	-1.007346e-08	0.0e+00	00:00:16.703
000000095	140009.400	-00.009112	-0.466352	-9.769504e-09	0.0e+00	00:00:16.875
000000096	140009.500	-00.042507	-0.463153	-4.588852e-08	0.0e+00	00:00:17.063
000000097	140009.600	-00.001889	-0.464364	-2.034253e-09	0.0e+00	00:00:17.234
000000098	140009.700	-00.039587	-0.467382	-4.234978e-08	0.0e+00	00:00:17.422
000000099	140009.800	-00.023003	-0.467272	-2.461418e-08	0.0e+00	00:00:17.594
000000100	140009.900	-00.036797	-0.467541	-3.935116e-08	0.0e+00	00:00:17.781
000000101	140010.000	-00.010740	-0.467895	-1.147710e-08	0.0e+00	00:00:17.953
000000102	140010.100	-00.042307	-0.466296	-4.536520e-08	0.0e+00	00:00:18.141
000000103	140010.200	-00.025248	-0.465496	-2.711988e-08	0.0e+00	00:00:18.313
000000104	140010.300	-00.017439	-0.467195	-1.866373e-08	0.0e+00	00:00:18.500
000000105	140010.400	-00.010081	-0.466503	-1.080527e-08	0.0e+00	00:00:18.672
000000106	140010.500	000.019974	-0.466505	2.140819e-08	0.0e+00	00:00:18.859
000000107	140010.600	-00.014791	-0.463406	-1.595862e-08	0.0e+00	00:00:19.031
000000108	140010.700	-00.011423	-0.465435	-1.227169e-08	0.0e+00	00:00:19.219
000000109	140010.800	-00.020461	-0.466926	-2.191066e-08	0.0e+00	00:00:19.391
000000110	140010.900	-00.021241	-0.465443	-2.281836e-08	0.0e+00	00:00:19.578
000000111	140011.000	-00.008903	-0.465341	-9.566551e-09	0.0e+00	00:00:19.750
000000112	140011.100	-00.040155	-0.465863	-4.309711e-08	0.0e+00	00:00:19.938
000000113	140011.200	-00.003898	-0.464820	-4.192829e-09	0.0e+00	00:00:20.109
000000114	140011.300	-00.025434	-0.464553	-2.737469e-08	0.0e+00	00:00:20.297
000000115	140011.400	-00.038261	-0.466331	-4.102346e-08	0.0e+00	00:00:20.469
000000116	140011.500	-00.030668	-0.465460	-3.294368e-08	0.0e+00	00:00:20.656
000000117	140011.600	-00.042267	-0.465284	-4.542019e-08	0.0e+00	00:00:20.828
000000118	140011.700	-00.012006	-0.465876	-1.288506e-08	0.0e+00	00:00:21.016
000000119	140011.800	-00.018940	-0.465162	-2.035862e-08	0.0e+00	00:00:21.188
000000120	140011.900	-00.017390	-0.466137	-1.865311e-08	0.0e+00	00:00:21.375
000000121	140012.000	-00.006012	-0.466265	-6.446471e-09	0.0e+00	00:00:21.547
000000122	140012.100	000.024847	-0.466929	2.660690e-08	0.0e+00	00:00:21.734
000000123	140012.200	-00.020163	-0.465182	-2.167259e-08	0.0e+00	00:00:21.922
000000124	140012.300	-00.039174	-0.463468	-4.226182e-08	0.0e+00	00:00:22.094
000000125	140012.400	-00.007554	-0.462692	-8.162618e-09	0.0e+00	00:00:22.266
000000126	140012.500	-00.007036	-0.464218	-7.578595e-09	0.0e+00	00:00:22.453
000000127	140012.600	-00.021632	-0.463757	-2.332243e-08	0.0e+00	00:00:22.625
000000128	140012.700	-00.016222	-0.463149	-1.751320e-08	0.0e+00	00:00:22.813
000000129	140012.800	000.014405	-0.463906	1.552611e-08	0.0e+00	00:00:22.984
000000130	140012.900	-00.039870	-0.461807	-4.316705e-08	0.0e+00	00:00:23.172
000000131	140013.000	000.042118	-0.461538	4.562833e-08	0.0e+00	00:00:23.359
000000132	140013.100	-00.049673	-0.463186	-5.362050e-08	0.0e+00	00:00:23.531
000000133	140013.200	-00.009612	-0.462939	-1.038103e-08	0.0e+00	00:00:23.719
000000134	140013.300	-00.018498	-0.462733	-1.998756e-08	0.0e+00	00:00:23.891
000000135	140013.400	000.003638	-0.462065	3.936414e-09	0.0e+00	00:00:24.078
000000136	140013.500	-00.022796	-0.461459	-2.469970e-08	0.0e+00	00:00:24.250
000000137	140013.600	-00.005082	-0.459986	-5.524611e-09	0.0e+00	00:00:24.438
000000138	140013.700	-00.028949	-0.460365	-3.144131e-08	0.0e+00	00:00:24.609
000000139	140013.800	000.010543	-0.460014	1.145972e-08	0.0e+00	00:00:24.797
000000140	140013.900	-00.005664	-0.460584	-6.148844e-09	0.0e+00	00:00:24.984
000000141	140014.000	000.011956	-0.460488	1.298166e-08	0.0e+00	00:00:25.156
000000142	140014.100	000.017044	-0.460195	1.851789e-08	0.0e+00	00:00:25.344
000000143	140014.200	-00.002882	-0.461103	-3.125063e-09	0.0e+00	00:00:25.516
000000144	140014.300	000.017793	-0.460961	1.930009e-08	0.0e+00	00:00:25.703
000000145	140014.400	000.008962	-0.460678	9.726992e-09	0.0e+00	00:00:25.891
000000146	140014.500	-00.033630	-0.460119	-3.654484e-08	0.0e+00	00:00:26.063
000000147	140014.600	-00.006455	-0.460514	-7.008369e-09	0.0e+00	00:00:26.250
000000148	140014.700	000.015251	-0.461138	1.653610e-08	0.0e+00	00:00:26.422
000000149	140014.800	-00.008811	-0.461428	-9.547347e-09	0.0e+00	00:00:26.609
000000150	140014.900	000.011466	-0.463185	1.237697e-08	0.0e+00	00:00:26.781
000000151	140015.000	000.038503	-0.461193	4.174237e-08	0.0e+00	00:00:26.969
000000152	140015.100	000.060649	-0.459684	6.596834e-08	0.0e+00	00:00:27.156
000000153	140015.200	000.039100	-0.460372	4.246520e-08	0.0e+00	00:00:27.328
000000154	140015.300	000.027245	-0.462521	2.945326e-08	0.0e+00	00:00:27.516
000000155	140015.400	000.040820	-0.462618	4.411860e-08	0.0e+00	00:00:27.688
000000156	140015.500	-00.006632	-0.461469	-7.185393e-09	0.0e+00	00:00:27.875
000000157	140015.600	000.041444	-0.458486	4.519627e-08	0.0e+00	00:00:28.047
000000158	140015.700	000.040745	-0.458892	4.439535e-08	0.0e+00	00:00:28.234
000000159	140015.800	000.016518	-0.460407	1.793812e-08	0.0e+00	00:00:28.406
000000160	140015.900	000.008602	-0.459211	9.366020e-09	0.0e+00	00:00:28.594
000000161	140016.000	-00.002887	-0.458886	-3.145288e-09	0.0e+00	00:00:28.766
000000162	140016.100	000.037424	-0.459400	4.073181e-08	0.0e+00	00:00:28.953
000000163	140016.200	000.022921	-0.457971	2.502456e-08	0.0e+00	00:00:29.141
000000164	140016.300	-00.004617	-0.457963	-5.041121e-09	0.0e+00	00:00:29.313
000000165	140016.400	-00.000572	-0.458758	-6.238814e-10	0.0e+00	00:00:29.484
000000166	140016.500	000.021756	-0.458470	2.372625e-08	0.0e+00	00:00:29.672
000000167	140016.600	000.036542	-0.456632	4.001274e-08	0.0e+00	00:00:29.859
000000168	140016.700	000.017923	-0.453321	1.976865e-08	0.0e+00	00:00:30.031
000000169	140016.800	000.009857	-0.456028	1.080784e-08	0.0e+00	00:00:30.219
000000170	140016.900	-00.000973	-0.457354	-1.064223e-09	0.0e+00	00:00:30.391
000000171	140017.000	-00.008059	-0.454649	-8.862761e-09	0.0e+00	00:00:30.578
000000172	140017.100	000.032380	-0.454867	3.559323e-08	0.0e+00	00:00:30.750
000000173	140017.200	000.014618	-0.457792	1.596533e-08	0.0e+00	00:00:30.938
000000174	140017.300	000.015642	-0.455676	1.716403e-08	0.0e+00	00:00:31.109
000000175	140017.400	000.001945	-0.456065	2.132776e-09	0.0e+00	00:00:31.297
000000176	140017.500	000.002242	-0.456435	2.456154e-09	0.0e+00	00:00:31.469
000000177	140017.600	-00.022842	-0.455396	-2.507940e-08	0.0e+00	00:00:31.656
000000178	140017.700	000.019310	-0.457983	2.108175e-08	0.0e+00	00:00:31.844
000000179	140017.800	000.001565	-0.457354	1.710474e-09	0.0e+00	00:00:32.016
000000180	140017.900	000.005487	-0.456635	6.007974e-09	0.0e+00	00:00:32.203
000000181	140018.000	-00.028392	-0.456904	-3.106970e-08	0.0e+00	00:00:32.375
000000182	140018.100	000.021281	-0.456562	2.330624e-08	0.0e+00	00:00:32.563
000000183	140018.200	000.013445	-0.457176	1.470390e-08	0.0e+00	00:00:32.750
000000184	140018.300	000.046261	-0.457154	5.059626e-08	0.0e+00	00:00:32.922
000000185	140018.400	-00.008918	-0.455953	-9.779877e-09	0.0e+00	00:00:33.109
000000186	140018.500	-00.000100	-0.455875	-1.099419e-10	0.0e+00	00:00:33.281
000000187	140018.600	-00.002113	-0.457113	-2.310930e-09	0.0e+00	00:00:33.469
000000188	140018.700	000.005367	-0.456413	5.879991e-09	0.0e+00	00:00:33.641
000000189	140018.800	-00.003236	-0.458831	-3.525895e-09	0.0e+00	00:00:33.828
000000190	140018.900	000.019153	-0.456606	2.097269e-08	0.0e+00	00:00:34.016
000000191	140019.000	-00.030773	-0.455271	-3.379629e-08	0.0e+00	00:00:34.188
000000192	140019.100	-00.003374	-0.454887	-3.708713e-09	0.0e+00	00:00:34.375
000000193	140019.200	000.003321	-0.455196	3.648284e-09	0.0e+00	00:00:34.547
000000194	140019.300	000.013379	-0.455807	1.467654e-08	0.0e+00	00:00:34.734
