100	0	0.25	0.0025
400	0	0.2543	0.0045
1000	0	0.2739	0.0232
1200	0.0014	0.2855	0.0346
1500	0.0029	0.3093	0.0581
1800	0.0045	0.3444	0.0928
2000	0.0057	0.3769	0.1253
2300	0.008	0.4494	0.1973
2500	0.01	0.5241	0.2717
2800	0.016	0.7232	0.4706
3000	0.024	0.995	0.747
3100	0.03	1.246	0.994
3150	0.036	1.429	1.177
3200	0.043	1.672	1.426
3225	0.047	1.827	1.58
3250	0.0526	2.015	1.769
3275	0.059	2.243	2
3300	0.067	2.524	2.29
3325	0.076	2.878	2.655
3350	0.088	3.304	3.097
3360	0.094	3.505	3.306
3370	0.1	3.719	3.535
3380	0.106	3.947	3.774
3390	0.113	4.18	4.02
3400	0.12	4.42	4.27
3410	0.126	4.63	4.51
3420	0.13	4.83	4.75
3430	0.136	4.97	4.91
3440	0.139	5.04	5.02
3445	0.139	5.05	5.04
3450	0.139	5.07	5.06
3460	0.139	5.02	5.02
3470	0.137	4.87	4.96
3480	0.132	4.75	4.83
3490	0.127	4.55	4.66
3500	0.122	4.35	4.47
3520	0.11	3.91	4.06
3540	0.099	3.49	3.66
3560	0.088	3.11	3.29
3580	0.08	2.78	2.98
3600	0.072	2.5	2.7
3620	0.066	2.26	2.48
3640	0.06	2.06	2.28
3660	0.055	1.89	2.11
3680	0.051	1.74	1.97
3700	0.048	1.61	1.84
3720	0.045	1.5	1.73
3740	0.041	1.4	1.63
3760	0.039	1.31	1.54
3780	0.037	1.23	1.47
3800	0.035	1.16	1.4
3900	0.028	0.89	1.13
4000	0.023	0.73	0.97
4100	0.02	0.61	0.88
4200	0.017	0.52	0.77
4300	0.015	0.45	0.7
4400	0.014	0.4	0.65
4500	0.012	0.35	0.6
4600	0.011	0.32	0.57
4700	0.01	0.29	0.54
4800	0.01	0.26	0.51
4900	0.009	0.24	0.49
5000	0.009	0.22	0.47
