200	0	0.25	0.001
1000	0.01	0.27	0.02
1100	0.012	0.28	0.02
1200	0.014	0.28	0.03
1300	0.015	0.29	0.04
1400	0.017	0.3	0.049
1500	0.019	0.31	0.05
1600	0.02	0.32	0.06
1700	0.02	0.33	0.07
1800	0.02	0.34	0.09
1900	0.027	0.35	0.1
2000	0.03	0.37	0.125
2200	0.037	0.41	0.168
2400	0.046	0.47	0.22
2600	0.059	0.55	0.31
2800	0.07	0.68	0.44
3000	0.1	0.88	0.66
3050	0.11	0.95	0.73
3100	0.12	1.02	0.82
3150	0.14	1.11	0.92
3200	0.15	1.21	1.03
3250	0.17	1.31	1.15
3300	0.18	1.41	1.28
3320	0.19	1.45	1.34
3340	0.2	1.48	1.38
3360	0.2	1.519	1.54
3380	0.21	1.47	1.54
3400	0.21	1.56	1.51
3410	0.216	1.56	1.529
3420	0.218	1.57	1.54
3430	0.218	1.575	1.55
3440	0.219	1.57	1.56
3450	0.21	1.57	1.57
3460	0.22	1.57	1.57
3470	0.219	1.56	1.58
3480	0.219	1.55	1.58
3490	0.218	1.54	1.58
3500	0.217	1.53	1.58
3600	0.19	1.35	1.46
3700	0.16	1.12	1.28
3800	0.14	0.92	1.12
3900	0.12	0.77	0.97
4000	0.1	0.65	0.87
4100	0.09	0.56	0.79
4200	0.08	0.49	0.72
4300	0.07	0.43	0.66
4400	0.06	0.38	0.62
4500	0.06	0.34	0.58
4600	0.05	0.31	0.55
4700	0.05	0.28	0.53
4800	0.05	0.26	0.5
4900	0.04	0.24	0.48
5000	0.04	0.22	0.47
