0	0	0	0
0	0	0	0.467
0	0	0	0.744
0	0	0	1.162
0	0	0.537	1.766
0	0	0.929	2.418
0	0.502	1.407	3.212
0	0.872	2.117	4.263
0	1.390	2.893	5.295
0.798	2.128	3.889	6.084
1.422	3.029	4.930	7.284
2.250	4.031	6.215	8.703
3.095	4.990	7.468	10.069
4.330	6.480	8.859	11.411
5.743	7.430	9.899	12.703
6.588	9.968	11.555	14.535
7.665	10.187	12.888	15.963
8.728	11.378	14.014	17.243
9.882	12.605	15.297	18.502
10.989	13.740	16.500	19.835
12.288	14.974	17.890	0
13.396	16.187	19.058	0
14.664	17.451	20.454	0
15.860	18.734	21.576	0
16.958	19.997	23.004	0
